,start_at,end_at,timeout,node,bottleneck,status,bottleneck_id
640,2020-12-14 03:18:51,2020-12-14 03:20:21,90,GW1,diskio,COMPLETED,d1462233-a214-4bed-af47-764c876c9704
641,2020-12-14 03:25:23,2020-12-14 03:26:53,90,GW1,cpu,COMPLETED,4768cc2a-f808-48f2-9a7e-689fdb12d761
642,2020-12-14 03:31:55,2020-12-14 03:32:55,60,GW111,memory,COMPLETED,d86ae887-d03b-49ee-a96d-4e393aefda55
643,2020-12-14 03:17:50,2020-12-14 03:18:50,60,SRV,network_packet_duplicate,FAILED,eb1625c7-2336-4726-a6cb-42a198d54ebe
644,2020-12-14 03:28:23,2020-12-14 03:29:23,60,GW1,network_packet_loss,COMPLETED,f0c98d32-9c91-4f32-bc29-fd8581a2bea0
645,2020-12-14 03:24:22,2020-12-14 03:25:52,90,SRV,network_packet_duplicate,COMPLETED,8985aed9-c24d-4a12-9b85-dfbc7b1d3553
646,2020-12-14 03:19:51,2020-12-14 03:21:51,120,SRV,network_delay,COMPLETED,e1af4b4e-9fbd-48df-a8a8-606f44e5dbcb
647,2020-12-14 03:18:21,2020-12-14 03:19:21,60,GW1,network_delay,COMPLETED,85785364-525b-4bc8-bc00-316c25657d59
648,2020-12-14 03:25:53,2020-12-14 03:26:53,60,GW111,memory,COMPLETED,77382959-0cd4-41c5-bd34-77423a438e7d
649,2020-12-14 03:20:51,2020-12-14 03:22:51,120,GW1,diskio,COMPLETED,2c50fa9b-d0a7-40a0-89fc-aa91eab4495b
650,2020-12-14 03:28:54,2020-12-14 03:29:54,60,SRV,memory,COMPLETED,00f7889a-3918-4cc1-a08b-a0ece5b26b9e
651,2020-12-14 03:27:53,2020-12-14 03:29:23,90,SRV,network_delay,COMPLETED,50b5f7af-2a0a-4c4a-b0d3-6edc165d5d60
652,2020-12-14 03:23:22,2020-12-14 03:24:22,60,GW11,cpu,COMPLETED,6e5de46f-b253-4186-b928-9d5b26dee90f
653,2020-12-14 03:33:55,2020-12-14 03:35:25,90,GW11,diskio,COMPLETED,0f6a4f1f-8319-4aab-b00d-f90cf66d3daa
654,2020-12-14 03:34:25,2020-12-14 03:36:25,120,SRV,diskspace,FAILED,b809d337-e103-4ef6-9cd4-a8a93a9d294b
655,2020-12-14 03:30:24,2020-12-14 03:31:54,90,SRV,network_packet_duplicate,COMPLETED,d834526f-bbd7-4886-a942-40097b70c2ad
656,2020-12-14 03:23:52,2020-12-14 03:25:52,120,GW111,diskspace,COMPLETED,e4232665-ba06-4ce5-8c64-79743eb5265c
657,2020-12-14 03:21:21,2020-12-14 03:23:21,120,GW1,network_packet_duplicate,COMPLETED,2e733f25-7040-492b-b88f-1541586ffff9
658,2020-12-14 03:22:52,2020-12-14 03:23:52,60,GW11,network_packet_loss,COMPLETED,df68b440-3e95-4b2b-8721-f2e2ae775627
